NameID;Name_ZhT;IDCH;OrgSup;Institution;Type_1;Type_2;Type_2_Orig;Institution_Lev_2;Institution_Lev_3;Prov_Inst;City_Inst;Position;Level_Code;Level_New;StartPosYear;StartPosMonth;StartJob;Zi;BirthProv;BirthLoc;Gender;Age;Birthyear;Generation;Status
N05935;龔樹森;P13612;國民政府;主計處;GOV;GOVC;GOV-C;會計局;;;;科員;AOS;Administrative and Office Staff;;;;木三;湖北;監利;M;47;1898;4;P
N05935;龔樹森;P13613;國民政府;衛生署;GOV;GOVC;GOV-C;;;;;會計主任;PTS;Professional and Technical Staff;;;;木三;湖北;監利;M;47;1898;4;P
N06034;朱章寶;P13835;中國國民黨;中央政治委員會;GOV;GOVC;GOV-C;土地陳報;;;;專門委員;AOS;Administrative and Office Staff;;;;隱青;浙江;金華;M;54;1891;3;P
N06036;朱劍農;P13840;中國國民黨;中央設計局;GOV;GOVC;GOV-C;;;;;調查研究員;AOS;Administrative and Office Staff;;;;;安徽;旌德;M;33;1912;5;P
N06036;朱劍農;P13842;國民政府;內政部;GOV;GOVC;GOV-C;申報處;;;;科員;AOS;Administrative and Office Staff;;;;;安徽;旌德;M;33;1912;5;P
N06096;羅鼎;P13983;國民政府;經濟調查局;GOV;GOVC;GOV-C;;;;;委員;MM;Middle Management;;;;重民;湖南;攸縣;M;57;1888;3;P
N06096;羅鼎;P13985;國民政府;法制局;GOV;GOVC;GOV-C;;;;;編審員;AOS;Administrative and Office Staff;;;;重民;湖南;攸縣;M;57;1888;3;P
N04704;史維煥;P14004;中國國民黨;中央訓練部;GOV;GOVC;GOV-C;;;;;秘書;AOS;Administrative and Office Staff;;;;奎光;貴州;貴定;M;50;1895;3;P
N04704;史維煥;P14006;國民政府;社會部;GOV;GOVC;GOV-C;勞動局;;;;副局長;MM;Middle Management;;;;奎光;貴州;貴定;M;50;1895;3;P
N06142;馬曉軍;P14161;國民政府;交通部;GOV;GOVC;GOV-C;;;;;秘書;AOS;Administrative and Office Staff;;;;翰東;廣西;容縣;M;60;1885;2;P
N06157;陳海澄;P14214;國民政府;立法院;GOV;GOVC;GOV-C;;;;;簡任秘書;AOS;Administrative and Office Staff;;;;劍秋;江蘇;阜甯;M;49;1896;3;P
N06160;王培仁;P14226;國民政府;宣傳部;GOV;GOVC;GOV-C;;;;;部長;NL;National Leadership;;;;;安徽;六安;M;45;1900;4;P
N06172;連聲海;P14270;國民政府;交通部;GOV;GOVC;GOV-C;;;;;次長;NL;National Leadership;;;;;廣東;南海;M;60;1885;2;P
N06172;連聲海;P14271;國民政府;國民政府;GOV;GOVC;GOV-C;;;;;秘書;AOS;Administrative and Office Staff;;;;;廣東;南海;M;60;1885;2;P
N06172;連聲海;P14272;國民政府;鐵道部;GOV;GOVC;GOV-C;;;;;部長;NL;National Leadership;;;;;廣東;南海;M;60;1885;2;P
N06172;連聲海;P14274;國民政府;行政院;GOV;GOVC;GOV-C;;;;;秘書長;SCS;Senior Civil Service;;;;;廣東;南海;M;60;1885;2;P
N06183;黃懺華;P14317;;考成所;GOV;GOVC;GOV-C;;;;;主任秘書;SCS;Senior Civil Service;;;;;廣東;順德;M;52;1893;3;P
N06184;李元白;P14319;軍政府;大元帥府;GOV;GOVC;GOV-C;;;;;秘書;AOS;Administrative and Office Staff;;;;;四川;成都;M;57;1888;3;P
N06249;沈陳善;P14416;中國國民黨;中央政治委員會;GOV;GOVC;GOV-C;;;;;科長;MM;Middle Management;;;;維伯;浙江;吳興;M;59;1886;3;P
N06254;譚平;P14426;軍政府;總統府;GOV;GOVC;GOV-C;;;;;委員;MM;Middle Management;;;;昭衡;廣東;中山;M;49;1896;3;P
N06270;陳震異;P14446;國民政府;鐵道部;GOV;GOVC;GOV-C;;;;;專員;SCS;Senior Civil Service;;;;;廣東;普寧;M;49;1896;3;P
N06270;陳震異;P14447;國民政府;編譯室;GOV;GOVC;GOV-C;;;;;主任;MM;Middle Management;;;;;廣東;普寧;M;49;1896;3;P
N06302;陶善堅;P14500;國民政府;審計院;GOV;GOVC;GOV-C;;;;;協審官;AOS;Administrative and Office Staff;;;;銅似;浙江;;M;60;1885;2;P
N06302;陶善堅;P14501;國民政府;審查決算委員會;GOV;GOVC;GOV-C;;;;;書記官長;SCS;Senior Civil Service;;;;銅似;浙江;;M;60;1885;2;P
N06314;張樹勛;P14523;國民政府;立法院;GOV;GOVC;GOV-C;;;;;科員;AOS;Administrative and Office Staff;;;;彬士;江蘇;;M;65;1880;2;P
